food_id,canonical_short_food_name,canonical_product_name,canonical_food_category,reviewed_food_category,resolved_food_category,resolved_food_category_key,category_source,food_id_event_count,food_id_weight_g_total,hpdi_component,hpdi_parent_group,suggested_hpdi_component,suggested_hpdi_parent_group,mapping_status,mapping_basis,review_notes,confidence
1009773,,Spicy Salsa Dipping Sauce,Soups and sauces,,Soups and sauces,soups and sauces,original,100,3791.0,vegetables,,,,mapped,mixed_or_ambiguous_food_category,explicit_vegetable,high
1013010,,Spicy red sauce,Soups and sauces,,Soups and sauces,soups and sauces,original,100,3160.0,,,,,not_applicable,mixed_or_ambiguous_food_category,conservative_no_unique_table11_group,medium
1011891,,Gelatin dry powder,Others,,Others,others,original,97,754.0,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_supplement_or_additive,high
1008301,,Teddy bear potato snack different flavors Asam,Snacks,,Snacks,snacks,original,96,3495.0,potatoes,,potatoes,less_healthy_plant,mapped,mixed_or_ambiguous_food_category,table11_principal_potato_or_cor_chip,high
1007590,,Sheep fat,Oils and fats,,Oils and fats,oils and fats,original,95,2978.0,animal_fat,,,,mapped,mixed_or_ambiguous_food_category,explicit_animal_fat,high
1013635,,Fuse tea green lemon-nene,fruit juices and soft drinks,,fruit juices and soft drinks,fruit juices and soft drinks,original,95,39820.0,tea_coffee,,tea_coffee,healthy_plant,mapped,mixed_or_ambiguous_food_category,explicit_tea_or_coffee,high
1014856,,Trimmed in different flavors with the addition of vitamins,fruit juices and soft drinks,,fruit juices and soft drinks,fruit juices and soft drinks,original,94,38379.0,sugar_sweetened_beverages,,,,mapped,mixed_or_ambiguous_food_category,fruit_drink_category,high
1008377,,Instant pudding vanilla powder,Others,,Others,others,original,93,1435.0,sweets_desserts,,,,mapped,mixed_or_ambiguous_food_category,principal_sweet_or_dessert,high
1009557,,Frigate mango nectar,juices and soft drinks,,juices and soft drinks,juices and soft drinks,original,93,15016.0,fruit_juice,,fruits,healthy_plant,mapped,mixed_or_ambiguous_food_category,table11_fruit_juice_or_nectar,high
1009167,,coconut flour,Others,,Others,others,original,93,1437.0,,,,,not_applicable,mixed_or_ambiguous_food_category,conservative_no_unique_table11_group,medium
1011126,,Grilled breast from the plant reduced Tegul,Industrialized vegetarian food ready to eat,,Industrialized vegetarian food ready to eat,industrialized vegetarian food ready to eat,original,92,7718.0,,,,,not_applicable,mixed_or_ambiguous_food_category,processed_plant_analogue_no_unique_table11_group,high
1012806,,Vegenaise vegan mayonnaise,Soups and sauces,,Soups and sauces,soups and sauces,original,92,1696.7,,,,,not_applicable,mixed_or_ambiguous_food_category,plant_mayonnaise_no_unique_table11_group,high
1013763,,"Juice Plus Complete, powder for making a drink based on vegetable protein with a vanilla flavor",Snacks,,Snacks,snacks,original,92,3136.0,fruit_juice,,vegetables,healthy_plant,mapped,mixed_or_ambiguous_food_category,fruit_juice_or_nectar,high
1014422,,Tbevol sweet potato fritters,Industrialized vegetarian food ready to eat,,Industrialized vegetarian food ready to eat,industrialized vegetarian food ready to eat,original,91,7424.25,vegetables,,vegetables,healthy_plant,mapped,mixed_or_ambiguous_food_category,table11_sweet_potato_is_vegetable,high
1008401,,Mango curry sauce,Soups and sauces,,Soups and sauces,soups and sauces,original,89,2284.0,,,fruits,healthy_plant,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_condiment,high
1014935,,Zoglovac vegan sausage,Industrialized vegetarian food ready to eat,,Industrialized vegetarian food ready to eat,industrialized vegetarian food ready to eat,original,89,2775.0,,,meat,animal,not_applicable,mixed_or_ambiguous_food_category,processed_plant_analogue_no_unique_table11_group,high
1007404,,Bee pollen,Others,,Others,others,original,89,301.0,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_supplement_or_additive,high
1014607,,Sunwartior classic plus vanilla flavored protein powder,Others,,Others,others,original,89,2700.0,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_supplement_or_additive,high
1012049,,Baking powder,Others,,Others,others,original,88,156.72,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_supplement_or_additive,high
1014071,,Vitamin B12,Others,,Others,others,original,88,9.765,,,,,not_applicable,mixed_or_ambiguous_food_category,outside_18_groups_supplement_or_additive,high
1007295,,Peanut sauce and Lynn farm curry,Soups and sauces,,Soups and sauces,soups and sauces,original,88,2220.0,nuts,,,,mapped,mixed_or_ambiguous_food_category,explicit_nut_or_seed,high
